,STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
32,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2014,908.934,2015,6,Millions,2,Two
33,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2015,831.419,2015,6,Millions,2,Two
34,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2016,844.513,2015,6,Millions,2,Two
35,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2017,793.857,2015,6,Millions,2,Two
36,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2018,851.775,2015,6,Millions,2,Two
37,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,AUT,Austria,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2019,858.677,2015,6,Millions,2,Two
38,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,924.645,2015,6,Millions,2,Two
39,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,842.779,2015,6,Millions,2,Two
40,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,965.777,2015,6,Millions,2,Two
41,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,966.284,2015,6,Millions,2,Two
42,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,1035.807,2015,6,Millions,2,Two
43,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2006,1173.7,2015,6,Millions,2,Two
44,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2007,1078.506,2015,6,Millions,2,Two
45,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2008,1134.156,2015,6,Millions,2,Two
46,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2009,1324.178,2015,6,Millions,2,Two
47,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2010,1139.708,2015,6,Millions,2,Two
48,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2011,1240.847,2015,6,Millions,2,Two
49,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2012,1288.0,2015,6,Millions,2,Two
50,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2013,1090.065,2015,6,Millions,2,Two
51,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2014,890.473,2015,6,Millions,2,Two
52,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2015,739.717,2015,6,Millions,2,Two
53,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2016,745.971,2015,6,Millions,2,Two
54,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2017,942.35,2015,6,Millions,2,Two
55,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2018,1214.362,2015,6,Millions,2,Two
56,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,BEL,Belgium,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2019,1196.51,2015,6,Millions,2,Two
57,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,1132.148,2015,6,Millions,2,Two
58,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,1124.036,2015,6,Millions,2,Two
59,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,1249.588,2015,6,Millions,2,Two
60,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,1415.782,2015,6,Millions,2,Two
61,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,1465.212,2015,6,Millions,2,Two
62,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2006,1588.213,2015,6,Millions,2,Two
63,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2007,1568.742,2015,6,Millions,2,Two
64,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2008,1942.329,2015,6,Millions,2,Two
65,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2009,1999.413,2015,6,Millions,2,Two
66,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2010,1898.621,2015,6,Millions,2,Two
67,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2011,1953.861,2015,6,Millions,2,Two
68,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2012,1818.618,2015,6,Millions,2,Two
69,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2013,1581.836,2015,6,Millions,2,Two
70,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2014,2286.79,2015,6,Millions,2,Two
71,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2015,2972.702,2015,6,Millions,2,Two
72,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2016,1389.312,2015,6,Millions,2,Two
73,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2017,1662.711,2015,6,Millions,2,Two
74,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2018,2127.854,2015,6,Millions,2,Two
75,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,CZE,Czechia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2019,1862.619,2015,6,Millions,2,Two
76,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,184.445,2015,6,Millions,2,Two
77,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,216.893,2015,6,Millions,2,Two
78,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,152.336,2015,6,Millions,2,Two
79,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,190.702,2015,6,Millions,2,Two
80,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,134.743,2015,6,Millions,2,Two
81,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2006,120.672,2015,6,Millions,2,Two
82,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2007,85.606,2015,6,Millions,2,Two
83,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2008,190.984,2015,6,Millions,2,Two
84,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2009,202.548,2015,6,Millions,2,Two
85,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2010,202.034,2015,6,Millions,2,Two
86,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2011,353.054,2015,6,Millions,2,Two
87,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2012,338.211,2015,6,Millions,2,Two
88,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2013,383.939,2015,6,Millions,2,Two
89,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2014,475.012,2015,6,Millions,2,Two
90,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2015,472.161,2015,6,Millions,2,Two
91,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2016,551.346,2015,6,Millions,2,Two
92,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2017,674.335,2015,6,Millions,2,Two
93,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2018,668.209,2015,6,Millions,2,Two
94,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,DNK,Denmark,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2019,535.034,2015,6,Millions,2,Two
95,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,EST,Estonia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2001,55.066,2015,6,Millions,2,Two
96,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,EST,Estonia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2002,52.503,2015,6,Millions,2,Two
97,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,EST,Estonia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2003,48.809,2015,6,Millions,2,Two
98,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,EST,Estonia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2004,42.968,2015,6,Millions,2,Two
99,DATAFLOW,OECD.CFE.RDG:DSD_SNGF_CSF@DF_SGCF(1.0),Subnational government climate finance,I,EST,Estonia,CS_I,Climate significant investment,S1313,Local government,R,Real terms,USD_PPP,"US dollars, PPP converted",2005,56.16,2015,6,Millions,2,Two
